SRR10983238.107935	10103	0	9999	98.97060279	-	scaffold_0002	18036862	5527982	5538150	87.3655
SRR10983238.107935	10103	5103	10102	49.48035237	-	scaffold_0002	18036862	5527982	5532981	90.0673
SRR10983238.8289	11985	0	11984	99.99165624	+	scaffold_0002	18036862	5528871	5540866	87.7981
SRR10983239.132376	23877	5000	14999	41.87712024	+	scaffold_0002	18036862	5516473	5524007	83.4358
SRR10983239.132376	23877	18877	23876	20.93646606	+	scaffold_0002	18036862	5525973	5530972	87.0689
SRR10983239.132376	23877	0	4999	20.93646606	+	scaffold_0017	8481849	6074979	6079978	82.6713
SRR10983239.148574	38233	20000	38232	47.6865535	-	scaffold_0002	18036862	5528088	5546866	85.5156
SRR10983239.148574	38233	0	14999	39.23050768	-	scaffold_0002	18036862	5551234	5564432	86.8344
SRR10983239.152180	9253	0	9252	99.98919269	-	scaffold_0002	18036862	5529727	5538633	85.0067
SRR10983239.164382	21828	0	21827	99.99541873	-	scaffold_0002	18036862	5530020	5550395	89.2196
SRR10983239.192739	16510	0	16509	99.99394306	+	scaffold_0002	18036862	5514605	5530307	84.8396
SRR10983239.254802	13696	0	13695	99.9926986	+	scaffold_0002	18036862	5518959	5531645	88.6674
SRR10983239.261449	34134	0	34133	99.99707037	-	scaffold_0002	18036862	5507766	5542178	87.6467
SRR10983239.279531	6510	0	6509	99.98463902	-	scaffold_0002	18036862	5530766	5538240	83.0273
SRR10983239.312923	20832	0	20831	99.99519969	-	scaffold_0002	18036862	5522810	5542796	87.691
SRR10983239.323966	43078	0	19999	46.42508937	+	scaffold_0002	18036862	5511176	5531257	88.8508
SRR10983239.323966	43078	25000	43077	41.9634152	+	scaffold_0002	18036862	5535108	5552381	85.2693
SRR10983239.42768	28490	0	28489	99.99649	+	scaffold_0002	18036862	5523659	5555236	85.3873
SRR10983239.42917	23967	0	23966	99.9958276	+	scaffold_0002	18036862	5518307	5540846	87.9209
SRR10983239.42918	22602	0	22601	99.99557561	-	scaffold_0002	18036862	5518611	5541184	86.1441
SRR10983239.70405	15308	5000	15307	67.33080742	+	scaffold_0002	18036862	5521812	5531606	84.9849
SRR10983239.71298	18350	0	18349	99.99455041	-	scaffold_0002	18036862	5513449	5529239	87.2156
SRR10983240.106952	27492	0	27491	99.99636258	+	scaffold_0002	18036862	5528669	5558283	86.8739
SRR10983240.115984	20015	0	19999	99.92005996	-	scaffold_0002	18036862	5522046	5540498	88.2447
SRR10983240.115984	20015	15015	20014	24.9762678	-	scaffold_0002	18036862	5522046	5527045	92.1702
SRR10983240.132303	8005	3005	8004	62.44846971	-	scaffold_0002	18036862	5521465	5526464	82.9373
SRR10983240.143982	15055	0	14999	99.62803055	-	scaffold_0002	18036862	5519460	5534534	88.9318
SRR10983240.143982	15055	10055	15054	33.20491531	-	scaffold_0002	18036862	5519460	5524459	88.2329
SRR10983240.143983	19506	0	19505	99.99487337	+	scaffold_0002	18036862	5518665	5536665	86.5396
SRR10983240.148377	19326	0	19325	99.99482562	-	scaffold_0002	18036862	5511828	5529848	88.3812
SRR10983240.148378	19757	0	19756	99.9949385	+	scaffold_0002	18036862	5511029	5530977	88.5031
SRR10983240.148379	11105	0	11104	99.99099505	-	scaffold_0002	18036862	5518678	5530366	88.8024
SRR10983240.156708	17760	5000	17759	71.84121622	+	scaffold_0002	18036862	5530959	5542767	85.9135
SRR10983240.219631	24510	0	14999	61.19543044	-	scaffold_0002	18036862	5515230	5529640	85.4255
SRR10983240.219631	24510	15000	24509	38.79640963	-	scaffold_0010	9915261	5116751	5125702	88.9465
SRR10983240.237496	54236	0	34999	64.53093886	+	scaffold_0002	18036862	5516451	5551372	86.5268
SRR10983240.237496	54236	40000	54235	26.2464046	+	scaffold_0002	18036862	5555033	5570265	84.1176
SRR10983240.2376	29692	0	29691	99.99663209	-	scaffold_0002	18036862	5510188	5540256	87.3402
SRR10983240.25911	17174	0	17173	99.99417724	+	scaffold_0002	18036862	5522282	5539765	87.4932
SRR10983240.275510	20790	0	20789	99.99519	-	scaffold_0002	18036862	5520812	5540211	86.371
SRR10983240.276582	19662	10000	19661	49.13538806	-	scaffold_0002	18036862	5530359	5539672	88.4722
SRR10983240.276582	19662	0	4999	25.42467704	-	scaffold_0002	18036862	5544401	5549400	84.6678
SRR10983240.279789	17773	0	17772	99.99437349	+	scaffold_0002	18036862	5515769	5534307	87.0317
SRR10983240.298387	12095	0	12094	99.99173212	-	scaffold_0002	18036862	5518206	5530764	86.8468
SRR10983240.34238	40248	0	40247	99.9975154	-	scaffold_0002	18036862	5502085	5541700	87.7735
SRR10983240.364969	22692	0	22691	99.99559316	+	scaffold_0002	18036862	5522614	5544399	88.3371
SRR10983240.383285	26880	10000	26879	62.79389881	+	scaffold_0002	18036862	5516365	5532232	88.7756
SRR10983240.383285	26880	0	9999	37.19866071	+	scaffold_0010	9915261	5118628	5127196	85.6716
SRR10983240.38887	27218	0	9999	36.73671835	+	scaffold_0002	18036862	5525018	5533768	82.0232
SRR10983240.38887	27218	15000	27217	44.88573738	+	scaffold_0002	18036862	5544266	5553920	83.2682
SRR10983240.400486	21558	0	21557	99.99536135	-	scaffold_0002	18036862	5529331	5550554	87.1161
SRR10983240.405074	37870	25000	37869	33.98204383	-	scaffold_0002	18036862	5505385	5517068	87.607
SRR10983240.405074	37870	5000	19999	39.60654872	-	scaffold_0002	18036862	5513745	5527424	87.7626
SRR10983240.405074	37870	15000	29999	39.60654872	-	scaffold_0010	9915261	5114297	5125460	85.4203
SRR10983240.65765	30045	5000	30044	83.35496755	-	scaffold_0002	18036862	5514407	5538060	86.9724
SRR10983241.126997	23102	0	9999	43.28196693	+	scaffold_0002	18036862	5525612	5535262	88.9
